models,100,80,60,40,20,bias,variance
NAML_1,0.0063,0.0064,0.0064,0.0064,0.0065,0.0001,3.999999999999987e-09
NRMS_1,0.0314,0.0314,0.0316,0.0312,0.0307,0.0003,9.439999999999981e-08
NRMS_2,0.0009,0.0009,0.0009,0.001,0.0012,0.0001,1.3599999999999994e-08
EBNR_1,0.0038,0.0038,0.0038,0.0037,0.0036,0.0001,6.400000000000002e-09
EBNR_2,0.0011,0.0011,0.0011,0.0011,0.0011,0.0,0.0
big_bird,0.2548,0.2571,0.2574,0.2577,0.256,0.0011,1.1399999999999777e-06
brio,0.157,0.1581,0.1587,0.159,0.1564,0.001,9.863999999999962e-07
prophetnet,0.0648,0.0647,0.065,0.0652,0.0648,0.0002,3.200000000000017e-08
cls,0.1917,0.1936,0.1934,0.1922,0.1883,0.0019,3.6423999999999967e-06
t5_base,0.0579,0.0582,0.058,0.0575,0.0571,0.0004,1.5440000000000088e-07
